Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 15002 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177523.1?report=genbank&log$=nucltop&blast_rank=11&RID=UZD221E4016"",""CP177523.1"")"
"Yersinia pestis strain 8 plasmid pFra, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100908,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151620.1?report=genbank&log$=nucltop&blast_rank=12&RID=UZD221E4016"",""CP151620.1"")"
"Yersinia pestis strain O010008 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177703.1?report=genbank&log$=nucltop&blast_rank=13&RID=UZD221E4016"",""CP177703.1"")"
"Yersinia pestis strain 19104 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177783.1?report=genbank&log$=nucltop&blast_rank=14&RID=UZD221E4016"",""CP177783.1"")"
"Yersinia pestis strain 80075 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177473.1?report=genbank&log$=nucltop&blast_rank=15&RID=UZD221E4016"",""CP177473.1"")"
"Yersinia pestis strain 41011 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,102195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177405.1?report=genbank&log$=nucltop&blast_rank=16&RID=UZD221E4016"",""CP177405.1"")"
"Yersinia pestis strain 100963 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177767.1?report=genbank&log$=nucltop&blast_rank=17&RID=UZD221E4016"",""CP177767.1"")"
"Yersinia pestis strain 55014 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177920.1?report=genbank&log$=nucltop&blast_rank=18&RID=UZD221E4016"",""CP177920.1"")"
"Yersinia pestis strain 91032 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177387.1?report=genbank&log$=nucltop&blast_rank=19&RID=UZD221E4016"",""CP177387.1"")"
"Yersinia pestis strain 96005 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,102408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177936.1?report=genbank&log$=nucltop&blast_rank=20&RID=UZD221E4016"",""CP177936.1"")"
"Yersinia pestis strain CMCC92010 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178011.1?report=genbank&log$=nucltop&blast_rank=21&RID=UZD221E4016"",""CP178011.1"")"
"Yersinia pestis strain 60007 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177933.1?report=genbank&log$=nucltop&blast_rank=22&RID=UZD221E4016"",""CP177933.1"")"
"Yersinia pestis strain F020032 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178095.1?report=genbank&log$=nucltop&blast_rank=23&RID=UZD221E4016"",""CP178095.1"")"
"Yersinia pestis strain 6/69_pPCP1- plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166964.1?report=genbank&log$=nucltop&blast_rank=24&RID=UZD221E4016"",""CP166964.1"")"
"Yersinia pestis strain 71037 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178054.1?report=genbank&log$=nucltop&blast_rank=25&RID=UZD221E4016"",""CP178054.1"")"
"Yersinia pestis strain 44040 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177442.1?report=genbank&log$=nucltop&blast_rank=26&RID=UZD221E4016"",""CP177442.1"")"
"Yersinia pestis strain 372009 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177637.1?report=genbank&log$=nucltop&blast_rank=27&RID=UZD221E4016"",""CP177637.1"")"
"Yersinia pestis strain 38004 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,102302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177415.1?report=genbank&log$=nucltop&blast_rank=28&RID=UZD221E4016"",""CP177415.1"")"
"Yersinia pestis strain N010010 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,106663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177587.1?report=genbank&log$=nucltop&blast_rank=29&RID=UZD221E4016"",""CP177587.1"")"
"Yersinia pestis strain 197_15 plasmid pFra, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151624.1?report=genbank&log$=nucltop&blast_rank=30&RID=UZD221E4016"",""CP151624.1"")"
"Yersinia pestis strain KIM6+ plasmid pMT, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,95328,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP162312.1?report=genbank&log$=nucltop&blast_rank=31&RID=UZD221E4016"",""CP162312.1"")"
"Yersinia pestis strain J340003 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177630.1?report=genbank&log$=nucltop&blast_rank=32&RID=UZD221E4016"",""CP177630.1"")"
"Yersinia pestis strain 81005 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177737.1?report=genbank&log$=nucltop&blast_rank=33&RID=UZD221E4016"",""CP177737.1"")"
"Yersinia pestis strain O010017 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177696.1?report=genbank&log$=nucltop&blast_rank=34&RID=UZD221E4016"",""CP177696.1"")"
"Yersinia pestis strain 86010 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177715.1?report=genbank&log$=nucltop&blast_rank=35&RID=UZD221E4016"",""CP177715.1"")"
"Yersinia pestis strain 19039 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,77483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177789.1?report=genbank&log$=nucltop&blast_rank=36&RID=UZD221E4016"",""CP177789.1"")"
"Yersinia pestis strain 19109 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177779.1?report=genbank&log$=nucltop&blast_rank=37&RID=UZD221E4016"",""CP177779.1"")"
"Yersinia pestis strain 2506 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101700,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178007.1?report=genbank&log$=nucltop&blast_rank=38&RID=UZD221E4016"",""CP178007.1"")"
"Yersinia pestis strain 650072 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177519.1?report=genbank&log$=nucltop&blast_rank=39&RID=UZD221E4016"",""CP177519.1"")"
"Yersinia pestis strain 83007 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177896.1?report=genbank&log$=nucltop&blast_rank=40&RID=UZD221E4016"",""CP177896.1"")"
"Yersinia pestis strain 90044 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177373.1?report=genbank&log$=nucltop&blast_rank=41&RID=UZD221E4016"",""CP177373.1"")"
"Yersinia pestis strain 9 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,107426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178034.1?report=genbank&log$=nucltop&blast_rank=42&RID=UZD221E4016"",""CP178034.1"")"
"Yersinia pestis strain 19042 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178048.1?report=genbank&log$=nucltop&blast_rank=43&RID=UZD221E4016"",""CP178048.1"")"
"Yersinia pestis strain 19098 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100647,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178044.1?report=genbank&log$=nucltop&blast_rank=44&RID=UZD221E4016"",""CP178044.1"")"
"Yersinia pestis strain J070005 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177797.1?report=genbank&log$=nucltop&blast_rank=45&RID=UZD221E4016"",""CP177797.1"")"
"Yersinia pestis strain 45120 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100985,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177429.1?report=genbank&log$=nucltop&blast_rank=46&RID=UZD221E4016"",""CP177429.1"")"
"Yersinia pestis strain J390001 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177775.1?report=genbank&log$=nucltop&blast_rank=47&RID=UZD221E4016"",""CP177775.1"")"
"Yersinia pestis strain 770432 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178077.1?report=genbank&log$=nucltop&blast_rank=48&RID=UZD221E4016"",""CP178077.1"")"
"Yersinia pestis strain 50010 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177943.1?report=genbank&log$=nucltop&blast_rank=49&RID=UZD221E4016"",""CP177943.1"")"
"Yersinia pestis strain 2 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100925,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178014.1?report=genbank&log$=nucltop&blast_rank=50&RID=UZD221E4016"",""CP178014.1"")"
"Yersinia pestis strain 2330 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178038.1?report=genbank&log$=nucltop&blast_rank=51&RID=UZD221E4016"",""CP178038.1"")"
"Yersinia pestis strain 740371 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177489.1?report=genbank&log$=nucltop&blast_rank=52&RID=UZD221E4016"",""CP177489.1"")"
"Yersinia pestis strain 02043 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177559.1?report=genbank&log$=nucltop&blast_rank=53&RID=UZD221E4016"",""CP177559.1"")"
"Yersinia pestis strain 13001 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,104458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177402.1?report=genbank&log$=nucltop&blast_rank=54&RID=UZD221E4016"",""CP177402.1"")"
"Yersinia pestis strain J260006 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177670.1?report=genbank&log$=nucltop&blast_rank=55&RID=UZD221E4016"",""CP177670.1"")"
"Yersinia pestis strain 140037 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177807.1?report=genbank&log$=nucltop&blast_rank=56&RID=UZD221E4016"",""CP177807.1"")"
"Yersinia pestis strain 140020 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177817.1?report=genbank&log$=nucltop&blast_rank=57&RID=UZD221E4016"",""CP177817.1"")"
"Yersinia pestis strain 55019 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177915.1?report=genbank&log$=nucltop&blast_rank=58&RID=UZD221E4016"",""CP177915.1"")"
"Yersinia pestis strain 166 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196690.1?report=genbank&log$=nucltop&blast_rank=59&RID=UZD221E4016"",""CP196690.1"")"
"Yersinia pestis strain 140068 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177803.1?report=genbank&log$=nucltop&blast_rank=60&RID=UZD221E4016"",""CP177803.1"")"
"Yersinia pestis strain 90057 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,98646,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177899.1?report=genbank&log$=nucltop&blast_rank=61&RID=UZD221E4016"",""CP177899.1"")"
"Yersinia pestis strain 43033 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177447.1?report=genbank&log$=nucltop&blast_rank=62&RID=UZD221E4016"",""CP177447.1"")"
"Yersinia pestis strain 08023 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177772.1?report=genbank&log$=nucltop&blast_rank=63&RID=UZD221E4016"",""CP177772.1"")"
"Yersinia pestis strain 93012 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,106644,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177365.1?report=genbank&log$=nucltop&blast_rank=64&RID=UZD221E4016"",""CP177365.1"")"
"Yersinia pestis strain J180019 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100940,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177658.1?report=genbank&log$=nucltop&blast_rank=65&RID=UZD221E4016"",""CP177658.1"")"
"Yersinia pestis strain 19022 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178072.1?report=genbank&log$=nucltop&blast_rank=66&RID=UZD221E4016"",""CP178072.1"")"
"Yersinia pestis strain 7 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100647,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177475.1?report=genbank&log$=nucltop&blast_rank=67&RID=UZD221E4016"",""CP177475.1"")"
"Yersinia pestis strain 30026 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177642.1?report=genbank&log$=nucltop&blast_rank=68&RID=UZD221E4016"",""CP177642.1"")"
"Yersinia pestis strain 44031 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177437.1?report=genbank&log$=nucltop&blast_rank=69&RID=UZD221E4016"",""CP177437.1"")"
"Yersinia pestis strain 94007 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177953.1?report=genbank&log$=nucltop&blast_rank=70&RID=UZD221E4016"",""CP177953.1"")"
"Yersinia pestis strain 51012 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177955.1?report=genbank&log$=nucltop&blast_rank=71&RID=UZD221E4016"",""CP177955.1"")"
"Yersinia pestis strain CMCC640047 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178026.1?report=genbank&log$=nucltop&blast_rank=72&RID=UZD221E4016"",""CP178026.1"")"
"Yersinia pestis strain 52013 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177540.1?report=genbank&log$=nucltop&blast_rank=73&RID=UZD221E4016"",""CP177540.1"")"
"Yersinia pestis strain 720330 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178087.1?report=genbank&log$=nucltop&blast_rank=74&RID=UZD221E4016"",""CP178087.1"")"
"Yersinia pestis strain 19024 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177793.1?report=genbank&log$=nucltop&blast_rank=75&RID=UZD221E4016"",""CP177793.1"")"
"Yersinia pestis strain 96011 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177893.1?report=genbank&log$=nucltop&blast_rank=76&RID=UZD221E4016"",""CP177893.1"")"
"Yersinia pestis strain 99002 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,102948,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177869.1?report=genbank&log$=nucltop&blast_rank=77&RID=UZD221E4016"",""CP177869.1"")"
"Yersinia pestis strain 50008 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177923.1?report=genbank&log$=nucltop&blast_rank=78&RID=UZD221E4016"",""CP177923.1"")"
"Yersinia pestis strain 41003 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177423.1?report=genbank&log$=nucltop&blast_rank=79&RID=UZD221E4016"",""CP177423.1"")"
"Yersinia pestis strain 71038 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178051.1?report=genbank&log$=nucltop&blast_rank=80&RID=UZD221E4016"",""CP178051.1"")"
"Yersinia pestis strain CMCC05009 plasmid pMT1-2, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,92907,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178031.1?report=genbank&log$=nucltop&blast_rank=81&RID=UZD221E4016"",""CP178031.1"")"
"Yersinia pestis strain N010080 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,106437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177571.1?report=genbank&log$=nucltop&blast_rank=82&RID=UZD221E4016"",""CP177571.1"")"
