Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 41006 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100979,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177418.1?report=genbank&log$=nucltop&blast_rank=93&RID=UZD221E4016"",""CP177418.1"")"
"Yersinia pestis strain 45018 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,99021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177459.1?report=genbank&log$=nucltop&blast_rank=94&RID=UZD221E4016"",""CP177459.1"")"
"Yersinia pestis strain 177 plasmid pFra, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,98951,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151628.1?report=genbank&log$=nucltop&blast_rank=95&RID=UZD221E4016"",""CP151628.1"")"
"Yersinia pestis strain 98008 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177864.1?report=genbank&log$=nucltop&blast_rank=96&RID=UZD221E4016"",""CP177864.1"")"
"Yersinia pestis strain J270009 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177668.1?report=genbank&log$=nucltop&blast_rank=97&RID=UZD221E4016"",""CP177668.1"")"
"Yersinia pestis strain 84030 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,96045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177744.1?report=genbank&log$=nucltop&blast_rank=98&RID=UZD221E4016"",""CP177744.1"")"
"Yersinia pestis strain 109 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,106991,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP196698.1?report=genbank&log$=nucltop&blast_rank=99&RID=UZD221E4016"",""CP196698.1"")"
"Yersinia pestis strain 49008 plasmid pMT1, complete sequence",Yersinia pestis,673,673,100%,0.0,98.96,103631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177450.1?report=genbank&log$=nucltop&blast_rank=100&RID=UZD221E4016"",""CP177450.1"")"



		


